[MSI]	
Submission Title	Rice Imputation Project	
Submission Identifier	
Submission Description	A test file that will auto-destroy in a week
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2018/05/17	
Submission Update Date	2018/05/17	
Organization Name	Rice Diversity Lab	
Organization Address	160 Emerson Hall, Ithaca, NY 14850, USA	
Organization URI	
Organization Email	
Organization Role	
Term Source Name	NCBI Taxonomy	
Term Source URI	http://www.ncbi.nlm.nih.gov/taxonomy	
Term Source Version	

[SCD]	
Sample Name	Sample Description	Organism	Term Source REF	Term Source ID	Sex	Characteristic[serovar]	Characteristic[mating_type]	Characteristic[sub_strain]	Characteristic[strain]	Characteristic[Scientific Name]	Characteristic[cultivar]	Characteristic[variety]	Characteristic[serotype]	Characteristic[cell_line]	Characteristic[tissue_type]	Characteristic[tissue_lib]	Characteristic[cell_type]	Characteristic[germline]	Characteristic[sub_species]	Characteristic[geographic location (region and locality)]	Characteristic[isolate]	Characteristic[Common Name]	Characteristic[dev_stage]	Characteristic[ecotype]	
07990ed9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DJOWAN::IRGC 17541-1	DJOWAN::IRGC 17541-1	NA	NA	leaf	NA	leaf	NA	trj	Indonesia	NA	rice	seedling	NA	
07dac217.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SRI MALAYSIA DUA	SRI MALAYSIA DUA	NA	NA	leaf	NA	leaf	NA	tej	Malaysia	NA	rice	seedling	NA	
07f246bb.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SML 242	SML 242	NA	NA	leaf	NA	leaf	NA	ind1	Suriname	NA	rice	seedling	NA	
07fd6392.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	PADI BANCUH::IRGC 18353-1	PADI BANCUH::IRGC 18353-1	NA	NA	leaf	NA	leaf	NA	trj	Indonesia	NA	rice	seedling	NA	
080cb61d.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IRAT 109::GERVEX 4988-C1	IRAT 109::GERVEX 4988-C1	NA	NA	leaf	NA	leaf	NA	trj	Cote d'Ivoire	NA	rice	seedling	NA	
084e8b29.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KHAO PAHK MAW	KHAO PAHK MAW	NA	NA	leaf	NA	leaf	NA	aus	Thailand	NA	rice	seedling	NA	
08ad4a27.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Tupa729	Tupa729	NA	NA	leaf	NA	leaf	NA	admixed	India	NA	rice	seedling	NA	
08beaab3.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	SOURE::GERVEX 1294-C1	SOURE::GERVEX 1294-C1	NA	NA	leaf	NA	leaf	NA	tej	Portugal	NA	rice	seedling	NA	
08de34ee.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Azucena	Azucena	NA	NA	leaf	NA	leaf	NA	trj	India	NA	rice	seedling	NA	
08e0302b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CARREON::IRGC 32575-C1	CARREON::IRGC 32575-C1	NA	NA	leaf	NA	leaf	NA	admixed-ind	Philippines	NA	rice	seedling	NA	
